Feature 1,Feature 2,Value
Price,Price,1.0
Price,Safety,-0.09003692270901863
Price,Exterior_Looks,0.015694990334723782
Price,Space_Comfort,0.1174946990892093
Price,Technology,0.014657935743083885
Price,After_Sales_Service,0.054001951424782584
Price,Resale_Value,0.3761103393145693
Price,Fuel_Type,0.13837802884954628
Price,Fuel_Efficiency,0.2795843495857293
Price,Color,0.08330080031107732
Price,Maintenance,0.3026420594077557
Price,Test_drive,-0.025884970829315186
Price,Product_Reviews,0.2805479522331885
Price,Testimonials,-0.1137388391657861
Safety,Price,-0.09003692270901863
Safety,Safety,1.0
Safety,Exterior_Looks,-0.08189080420622216
Safety,Space_Comfort,0.24199144859155713
Safety,Technology,0.024151524324600316
Safety,After_Sales_Service,0.2049183447743213
Safety,Resale_Value,-0.19067934190215147
Safety,Fuel_Type,0.1465727872841989
Safety,Fuel_Efficiency,-0.14075854676880256
Safety,Color,-0.06100120144955705
Safety,Maintenance,-0.20037317223392392
Safety,Test_drive,0.0031592620042431023
Safety,Product_Reviews,-0.0671648262568577
Safety,Testimonials,-0.07657397153077203
Exterior_Looks,Price,0.015694990334723782
Exterior_Looks,Safety,-0.08189080420622216
Exterior_Looks,Exterior_Looks,1.0
Exterior_Looks,Space_Comfort,0.16873315224265792
Exterior_Looks,Technology,0.07086880003091915
Exterior_Looks,After_Sales_Service,0.0333707528877174
Exterior_Looks,Resale_Value,-0.05841953656082272
Exterior_Looks,Fuel_Type,0.05157348677368167
Exterior_Looks,Fuel_Efficiency,-0.13606685087966755
Exterior_Looks,Color,-0.3329634335099437
Exterior_Looks,Maintenance,-0.11034231898297263
Exterior_Looks,Test_drive,0.16025775062832445
Exterior_Looks,Product_Reviews,0.04855371900826446
Exterior_Looks,Testimonials,0.11135180145204203
Space_Comfort,Price,0.1174946990892093
Space_Comfort,Safety,0.24199144859155713
Space_Comfort,Exterior_Looks,0.16873315224265792
Space_Comfort,Space_Comfort,1.0
Space_Comfort,Technology,0.2757720386230903
Space_Comfort,After_Sales_Service,0.3166703386412568
Space_Comfort,Resale_Value,-0.21207030731657378
Space_Comfort,Fuel_Type,0.4781795350858502
Space_Comfort,Fuel_Efficiency,0.12523940128139263
Space_Comfort,Color,-0.1306006516615632
Space_Comfort,Maintenance,0.06685548595314121
Space_Comfort,Test_drive,0.18552215836992478
Space_Comfort,Product_Reviews,0.23200808433365488
Space_Comfort,Testimonials,0.1577780035422465
Technology,Price,0.014657935743083885
Technology,Safety,0.024151524324600316
Technology,Exterior_Looks,0.07086880003091915
Technology,Space_Comfort,0.2757720386230903
Technology,Technology,1.0
Technology,After_Sales_Service,0.28136977723609724
Technology,Resale_Value,-0.06866963435294984
Technology,Fuel_Type,0.21387356998748097
Technology,Fuel_Efficiency,0.029165021117279685
Technology,Color,0.06610284997310716
Technology,Maintenance,0.18608560943492275
Technology,Test_drive,0.05709009864741478
Technology,Product_Reviews,0.10323338816385118
Technology,Testimonials,0.05478557413967578
After_Sales_Service,Price,0.054001951424782584
After_Sales_Service,Safety,0.2049183447743213
After_Sales_Service,Exterior_Looks,0.0333707528877174
After_Sales_Service,Space_Comfort,0.3166703386412568
After_Sales_Service,Technology,0.28136977723609724
After_Sales_Service,After_Sales_Service,1.0
After_Sales_Service,Resale_Value,0.08396205186336116
After_Sales_Service,Fuel_Type,0.2587004240480751
After_Sales_Service,Fuel_Efficiency,0.4172337187719517
After_Sales_Service,Color,0.09105182228596974
After_Sales_Service,Maintenance,0.14327117939378756
After_Sales_Service,Test_drive,0.2165294872721044
After_Sales_Service,Product_Reviews,0.09823221624694309
After_Sales_Service,Testimonials,0.010328126651387734
Resale_Value,Price,0.3761103393145693
Resale_Value,Safety,-0.19067934190215147
Resale_Value,Exterior_Looks,-0.05841953656082272
Resale_Value,Space_Comfort,-0.21207030731657378
Resale_Value,Technology,-0.06866963435294984
Resale_Value,After_Sales_Service,0.08396205186336116
Resale_Value,Resale_Value,1.0
Resale_Value,Fuel_Type,-0.04884261308371272
Resale_Value,Fuel_Efficiency,0.3267022410569332
Resale_Value,Color,0.12295496518896426
Resale_Value,Maintenance,0.4391278822906459
Resale_Value,Test_drive,0.021318478995241825
Resale_Value,Product_Reviews,0.112873091652538
Resale_Value,Testimonials,-0.2282779544705273
Fuel_Type,Price,0.13837802884954628
Fuel_Type,Safety,0.1465727872841989
Fuel_Type,Exterior_Looks,0.05157348677368167
Fuel_Type,Space_Comfort,0.4781795350858502
Fuel_Type,Technology,0.21387356998748097
Fuel_Type,After_Sales_Service,0.2587004240480751
Fuel_Type,Resale_Value,-0.04884261308371272
Fuel_Type,Fuel_Type,1.0
Fuel_Type,Fuel_Efficiency,0.14890401755535992
Fuel_Type,Color,-0.035157351673341324
Fuel_Type,Maintenance,0.024496353376816438
Fuel_Type,Test_drive,0.02393057842849843
Fuel_Type,Product_Reviews,0.05725130183133475
Fuel_Type,Testimonials,0.019466985663637606
Fuel_Efficiency,Price,0.2795843495857293
Fuel_Efficiency,Safety,-0.14075854676880256
Fuel_Efficiency,Exterior_Looks,-0.13606685087966755
Fuel_Efficiency,Space_Comfort,0.12523940128139263
Fuel_Efficiency,Technology,0.029165021117279685
Fuel_Efficiency,After_Sales_Service,0.4172337187719517
Fuel_Efficiency,Resale_Value,0.3267022410569332
Fuel_Efficiency,Fuel_Type,0.14890401755535992
Fuel_Efficiency,Fuel_Efficiency,1.0
Fuel_Efficiency,Color,0.3522066811333607
Fuel_Efficiency,Maintenance,0.29813872256549834
Fuel_Efficiency,Test_drive,0.2844957978958511
Fuel_Efficiency,Product_Reviews,0.3465801140234162
Fuel_Efficiency,Testimonials,0.07091652590864915
Color,Price,0.08330080031107732
Color,Safety,-0.06100120144955705
Color,Exterior_Looks,-0.3329634335099437
Color,Space_Comfort,-0.1306006516615632
Color,Technology,0.06610284997310716
Color,After_Sales_Service,0.09105182228596974
Color,Resale_Value,0.12295496518896426
Color,Fuel_Type,-0.035157351673341324
Color,Fuel_Efficiency,0.3522066811333607
Color,Color,1.0
Color,Maintenance,0.37497769460770997
Color,Test_drive,0.08111051567086973
Color,Product_Reviews,0.19464404309226507
Color,Testimonials,0.1547405723662549
Maintenance,Price,0.3026420594077557
Maintenance,Safety,-0.20037317223392392
Maintenance,Exterior_Looks,-0.11034231898297263
Maintenance,Space_Comfort,0.06685548595314121
Maintenance,Technology,0.18608560943492275
Maintenance,After_Sales_Service,0.14327117939378756
Maintenance,Resale_Value,0.4391278822906459
Maintenance,Fuel_Type,0.024496353376816438
Maintenance,Fuel_Efficiency,0.29813872256549834
Maintenance,Color,0.37497769460770997
Maintenance,Maintenance,1.0
Maintenance,Test_drive,0.13659569646773753
Maintenance,Product_Reviews,0.31326501891119063
Maintenance,Testimonials,-0.11895189943260784
Test_drive,Price,-0.025884970829315186
Test_drive,Safety,0.0031592620042431023
Test_drive,Exterior_Looks,0.16025775062832445
Test_drive,Space_Comfort,0.18552215836992478
Test_drive,Technology,0.05709009864741478
Test_drive,After_Sales_Service,0.2165294872721044
Test_drive,Resale_Value,0.021318478995241825
Test_drive,Fuel_Type,0.02393057842849843
Test_drive,Fuel_Efficiency,0.2844957978958511
Test_drive,Color,0.08111051567086973
Test_drive,Maintenance,0.13659569646773753
Test_drive,Test_drive,1.0
Test_drive,Product_Reviews,0.17946389857733772
Test_drive,Testimonials,0.2522008434999776
Product_Reviews,Price,0.2805479522331885
Product_Reviews,Safety,-0.0671648262568577
Product_Reviews,Exterior_Looks,0.04855371900826446
Product_Reviews,Space_Comfort,0.23200808433365488
Product_Reviews,Technology,0.10323338816385118
Product_Reviews,After_Sales_Service,0.09823221624694309
Product_Reviews,Resale_Value,0.112873091652538
Product_Reviews,Fuel_Type,0.05725130183133475
Product_Reviews,Fuel_Efficiency,0.3465801140234162
Product_Reviews,Color,0.19464404309226507
Product_Reviews,Maintenance,0.31326501891119063
Product_Reviews,Test_drive,0.17946389857733772
Product_Reviews,Product_Reviews,1.0
Product_Reviews,Testimonials,0.23859845784321634
Testimonials,Price,-0.1137388391657861
Testimonials,Safety,-0.07657397153077203
Testimonials,Exterior_Looks,0.11135180145204203
Testimonials,Space_Comfort,0.1577780035422465
Testimonials,Technology,0.05478557413967578
Testimonials,After_Sales_Service,0.010328126651387734
Testimonials,Resale_Value,-0.2282779544705273
Testimonials,Fuel_Type,0.019466985663637606
Testimonials,Fuel_Efficiency,0.07091652590864915
Testimonials,Color,0.1547405723662549
Testimonials,Maintenance,-0.11895189943260784
Testimonials,Test_drive,0.2522008434999776
Testimonials,Product_Reviews,0.23859845784321634
Testimonials,Testimonials,1.0
